Customer_ID,Credit_Score,Income,Total_Debt,Account_Age,Default_History,Missed_Payments,Utilization_Ratio,Existing_Credit_Lines,Risk_Score,Profitability_Score,Risk_Segment,Segment_Label,Credit_Line_Decrease_%
10001,402,150744,22976,7,0,3,0.5744391306225705,8,29.805335034607417,86.8873749451946,3,Very High Risk - Negative Profit,50
10002,735,120963,63863,10,0,0,0.19668203914336863,6,82.53694745242674,59.106912401693506,2,High Risk - Low Profit,20
10003,570,191349,1591,4,0,0,0.280667964849169,7,61.44546423242837,100.0,1,Medium Risk - Medium Profit,5
10004,406,51551,7277,25,0,2,0.9101948521425458,8,25.560808839502027,75.33126330190115,3,Very High Risk - Negative Profit,50
10005,371,109813,62860,28,0,0,0.5471121325867263,5,32.70481617179489,40.11384930448487,0,Low Risk - High Profit,0
10006,320,121025,3260,18,0,7,0.7826904288069523,2,7.9932502473903675,100.0,3,Very High Risk - Negative Profit,50
10007,421,144342,66883,27,0,2,0.15794569533581276,7,42.370497857989626,63.68398401600918,3,Very High Risk - Negative Profit,50
10008,766,196284,25741,25,0,9,0.47514385353236677,3,62.614769988176185,100.0,1,Medium Risk - Medium Profit,5
10009,514,29637,38211,10,0,1,0.7068162525979039,8,44.33426318333605,22.4153308889868,0,Low Risk - High Profit,0
10010,630,63258,42542,19,0,5,0.22006583315039197,6,59.716330395815696,53.86624903168166,2,High Risk - Low Profit,20
10011,758,186765,7869,14,0,3,0.3932360911951148,4,75.31174876433299,100.0,1,Medium Risk - Medium Profit,5
10012,387,160896,94618,13,0,3,0.15809302452149493,2,36.36755127427598,59.100147015274686,0,Low Risk - High Profit,0
10013,672,149553,88616,15,0,1,0.6862059467825594,7,63.33470459376056,32.56622608779267,2,High Risk - Low Profit,20
10014,399,46950,65732,16,0,1,0.9738021331523067,1,25.465133807542106,8.452533152522802,0,Low Risk - High Profit,0
10015,430,174560,95515,2,0,5,0.8443409420285467,7,23.70141645354671,26.05861640692214,0,Low Risk - High Profit,0
10016,608,147870,20422,29,1,4,0.977160805126809,7,43.986195662169706,73.54916765669452,3,Very High Risk - Negative Profit,50
10017,643,20215,36613,4,0,8,0.8610443155885569,3,42.42617251175827,12.469047159965267,0,Low Risk - High Profit,0
10018,791,125603,58016,21,1,3,0.8696762255772807,4,69.66529901786615,28.16590604049614,2,High Risk - Low Profit,20
10019,713,31523,61110,18,0,4,0.6194594758342084,4,63.49316342449231,24.185429088341948,2,High Risk - Low Profit,20
10020,685,88689,89529,29,0,0,0.5664270802718889,4,69.25969368867987,31.584821638987396,2,High Risk - Low Profit,20
10021,491,43834,78922,17,0,1,0.4656288397850449,9,46.45212908665204,32.27264939211163,0,Low Risk - High Profit,0
